smiles_1,smiles_2,id_1,id_2,transformation,context
CC(C)(C#N)c1ccc(NCC#Cc2cc3c(Br)ccc(F)c3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3c(Br)cccc3n2CC(F)(F)F)cn1,mol26,mol11,[*:1]c1ccc(F)c2c1cc([*:2])n2[*:3]>>[*:1]c1cccc2c1cc([*:2])n2[*:3],[*:1]Br.[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:3]CC(F)(F)F
CC(C)(C#N)c1ccc(NCC#Cc2cc3c(Br)cc(F)cc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3c(Br)cccc3n2CC(F)(F)F)cn1,mol480,mol11,[*:1]c1cc(F)cc2c1cc([*:2])n2[*:3]>>[*:1]c1cccc2c1cc([*:2])n2[*:3],[*:1]Br.[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:3]CC(F)(F)F
CC(C)(C#N)c1ccc(NCC#Cc2cc3c(Br)cccc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3c(Br)cnc(Cl)c3n2CC(F)(F)F)cn1,mol11,mol680,[*:1]c1cccc2c1cc([*:2])n2[*:3]>>[*:1]c1cnc(Cl)c2c1cc([*:2])n2[*:3],[*:1]Br.[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:3]CC(F)(F)F
CC(C)(C#N)c1ccc(NCC#Cc2cc3c(Br)cc(F)cc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3c(Br)ccc(F)c3n2CC(F)(F)F)cn1,mol480,mol26,[*:1]c1cc(F)cc2c1cc([*:2])n2[*:3]>>[*:1]c1ccc(F)c2c1cc([*:2])n2[*:3],[*:1]Br.[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:3]CC(F)(F)F
CC(C)(C#N)c1ccc(NCC#Cc2cc3c(Br)ccc(F)c3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3c(Br)cnc(Cl)c3n2CC(F)(F)F)cn1,mol26,mol680,[*:1]c1ccc(F)c2c1cc([*:2])n2[*:3]>>[*:1]c1cnc(Cl)c2c1cc([*:2])n2[*:3],[*:1]Br.[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:3]CC(F)(F)F
CC(C)(C#N)c1ccc(NCC#Cc2cc3c(Br)cc(F)cc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3c(Br)cnc(Cl)c3n2CC(F)(F)F)cn1,mol480,mol680,[*:1]c1cc(F)cc2c1cc([*:2])n2[*:3]>>[*:1]c1cnc(Cl)c2c1cc([*:2])n2[*:3],[*:1]Br.[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:3]CC(F)(F)F
CN1CCC(NCc2ccc3c(c2)cc(C#CC(=O)Nc2ccc(C(C)(C)C#N)nc2)n3CC(F)(F)F)CC1,CN1CCC(Nc2cccc3c2cc(C#CC(=O)Nc2ccc(C(C)(C)C#N)nc2)n3CC(F)(F)F)CC1,mol336,mol53,[*:1]Cc1ccc2c(c1)cc([*:2])n2[*:3]>>[*:1]c1cccc2c1cc([*:2])n2[*:3],[*:2]C#CC(=O)Nc1ccc(C(C)(C)C#N)nc1.[*:3]CC(F)(F)F.[*:1]NC1CCN(C)CC1
CCn1c(C#CCNC(=O)c2ccc(Cl)c(F)c2)cc2cc(CNC)ccc21,CCn1c(C#CCNC(=O)c2ccc(Cl)c(F)c2)nc2cc(CNC)ccc21,mol121,mol433,[*:1]c1ccc2c(c1)cc([*:2])n2[*:3]>>[*:1]c1ccc2c(c1)nc([*:2])n2[*:3],[*:2]C#CCNC(=O)c1ccc(Cl)c(F)c1.[*:3]CC.[*:1]CNC
CN1CCC(Nc2cc(F)cc3c2cc(C#CCNc2ccc(C(=O)Nc4cccnc4)nc2)n3CC(F)(F)F)CC1,CN1CCC(Nc2cccc3c2cc(C#CCNc2ccc(C(=O)Nc4cccnc4)nc2)n3CC(F)(F)F)CC1,mol285,mol631,[*:1]c1cc(F)cc2c1cc([*:2])n2[*:3]>>[*:1]c1cccc2c1cc([*:2])n2[*:3],[*:2]C#CCNc1ccc(C(=O)Nc2cccnc2)nc1.[*:3]CC(F)(F)F.[*:1]NC1CCN(C)CC1
COc1cc(C(C)(C)C#N)ccc1NCC#Cc1cc2c(NC3CCS(=O)(=O)CC3)cc(F)cc2n1CC(F)(F)F,COc1cc(C(C)(C)C#N)ccc1NCC#Cc1cc2c(NC3CCS(=O)(=O)CC3)cccc2n1CC(F)(F)F,mol120,mol69,[*:1]c1cc(F)cc2c1cc([*:2])n2[*:3]>>[*:1]c1cccc2c1cc([*:2])n2[*:3],[*:2]C#CCNc1ccc(C(C)(C)C#N)cc1OC.[*:3]CC(F)(F)F.[*:1]NC1CCS(=O)(=O)CC1
