smiles_1,smiles_2,id_1,id_2,transformation,context
CN1CCC(CC1)NC1=C2C=C(C#CC(=O)NC3=CC=C(N=C3)C(C)(C)C#N)N(CC(F)(F)F)C2=CC=C1,COC1=CC(=NC=C1NCC#CC1=CC2=C(NC3CCN(C)CC3)C=CC=C2N1CC(F)(F)F)C(C)(C)C#N,pmv_2017_6346857,pmv_2021_6344722,[*:1]C(=O)Nc1ccc([*:2])nc1>>[*:1]CNc1cnc([*:2])cc1OC,[*:1]C#Cc1cc2c(NC3CCN(C)CC3)cccc2n1CC(F)(F)F.[*:2]C(C)(C)C#N
C[Si](C)(C)C#CC1=CC2=C(NC3CCS(=O)(=O)CC3)C=CC=C2N1CC(F)(F)F,COC1=CC=NC=C1NCC#CC1=CC2=C(NC3CCS(=O)(=O)CC3)C=CC=C2N1CC(F)(F)F,pmv_2017_6344439,pmv_2021_5554774,[*:1][Si](C)(C)C>>[*:1]CNc1cnccc1OC,[*:1]C#Cc1cc2c(NC3CCS(=O)(=O)CC3)cccc2n1CC(F)(F)F
FC(F)(F)CN1C(=CC2=C(NC3CCS(=O)(=O)CC3)C=CC=C12)C#C,COC1=CC=NC=C1NCC#CC1=CC2=C(NC3CCS(=O)(=O)CC3)C=CC=C2N1CC(F)(F)F,pmv_2017_5559980,pmv_2021_5554774,[*:1][H]>>[*:1]CNc1cnccc1OC,[*:1]C#Cc1cc2c(NC3CCS(=O)(=O)CC3)cccc2n1CC(F)(F)F
CS(=O)(=O)C1=CC=C(NC(=O)C#CC2=CC3=C(NC4CCS(=O)(=O)CC4)C=CC=C3N2CC(F)(F)F)C=C1,COC1=CC(=NC=C1NCC#CC1=CC2=C(NC3CCS(=O)(=O)CC3)C=CC=C2N1CC(F)(F)F)S(C)(=O)=O,pmv_2017_6346823,pmv_2021_5570128,[*:1]C(=O)Nc1ccc([*:2])cc1>>[*:1]CNc1cnc([*:2])cc1OC,[*:1]C#Cc1cc2c(NC3CCS(=O)(=O)CC3)cccc2n1CC(F)(F)F.[*:2]S(C)(=O)=O
COC1=C(NCC#CC2=CC3=C(NC4CCN(CC#N)CC4)C=CC=C3N2CC(F)(F)F)C=CC(=C1)S(C)(=O)=O,COC1=C(NCC#CC2=CC3=C(NC4CCN(CCC#N)CC4)C=CC=C3N2CC(F)(F)F)C=CC(=C1)S(C)(=O)=O,pmv_2017_6346645,pmv_2021_6345289,[*:1]C[*:2]>>[*:1]CC[*:2],[*:1]C#N.[*:2]N1CCC(Nc2cccc3c2cc(C#CCNc2ccc(S(C)(=O)=O)cc2OC)n3CC(F)(F)F)CC1
COC1=CC=C(C=C1NCC#CC1=CC2=C(NC3CCN(C)CC3)C=CC=C2N1CC(F)(F)F)C#N,COC1=CC(=NC=C1NCC#CC1=CC2=C(NC3CCN(C)CC3)C=CC=C2N1CC(F)(F)F)C(C)(C)C#N,pmv_2017_5569987,pmv_2021_6344722,[*:1]c1ccc([*:2])c([*:3])c1>>[*:3]c1cnc(C([*:1])(C)C)cc1[*:2],[*:1]C#N.[*:3]NCC#Cc1cc2c(NC3CCN(C)CC3)cccc2n1CC(F)(F)F.[*:2]OC
COC1=C(NCC#CC2=CC3=C(NC4CCN(C)CC4)C=CC=C3N2CC(F)(F)F)C=CC(=C1)C#N,COC1=CC(=NC=C1NCC#CC1=CC2=C(NC3CCN(C)CC3)C=CC=C2N1CC(F)(F)F)C(C)(C)C#N,pmv_2017_6344166,pmv_2021_6344722,[*:1]c1ccc([*:2])c([*:3])c1>>[*:2]c1cnc(C([*:1])(C)C)cc1[*:3],[*:1]C#N.[*:2]NCC#Cc1cc2c(NC3CCN(C)CC3)cccc2n1CC(F)(F)F.[*:3]OC
CN1CCC(CC1)NC1=C2C=C(C#CCNC3=CC=C(C=C3C#N)S(C)(=O)=O)N(CC(F)(F)F)C2=CC=C1,CN1CCC(CC1)NC1=C2C=C(C#CCNC3=CC=C(C=C3OCC#N)S(C)(=O)=O)N(CC(F)(F)F)C2=CC=C1,pmv_2017_6346407,pmv_2021_6346994,[*:1]c1ccc([*:2])c([*:3])c1>>[*:3]COc1cc([*:1])ccc1[*:2],[*:3]C#N.[*:2]NCC#Cc1cc2c(NC3CCN(C)CC3)cccc2n1CC(F)(F)F.[*:1]S(C)(=O)=O
COC1=CC=C(C=C1NCC#CC1=CC2=C(NC3CCS(=O)(=O)CC3)C=CC=C2N1CC(F)(F)F)C#N,COC1=C(NCC#CC2=CC3=C(NC4CCS(=O)(=O)CC4)C=CC=C3N2CC(F)(F)F)C=NC(=C1)C(C)(C)C#N,pmv_2017_5569992,pmv_2021_6345511,[*:1]c1ccc([*:2])c([*:3])c1>>[*:3]c1cnc(C([*:1])(C)C)cc1[*:2],[*:1]C#N.[*:3]NCC#Cc1cc2c(NC3CCS(=O)(=O)CC3)cccc2n1CC(F)(F)F.[*:2]OC
COC1=C(NCC#CC2=CC3=C(NC4CCS(=O)(=O)CC4)C=CC=C3N2CC(F)(F)F)C=CC(=C1)C#N,COC1=C(NCC#CC2=CC3=C(NC4CCS(=O)(=O)CC4)C=CC=C3N2CC(F)(F)F)C=NC(=C1)C(C)(C)C#N,pmv_2017_6344950,pmv_2021_6345511,[*:1]c1ccc([*:2])c([*:3])c1>>[*:2]c1cnc(C([*:1])(C)C)cc1[*:3],[*:1]C#N.[*:2]NCC#Cc1cc2c(NC3CCS(=O)(=O)CC3)cccc2n1CC(F)(F)F.[*:3]OC
